Label,Total Backward Packets,Bwd Packet Length Max,Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Fwd Packet Length Max,Bwd IAT Total,Fwd IAT Total
BENIGN,1.0,99.0,60570.0,2476.473502,33.01964669,1.0,51.0,0.0,0.0
DDoS,4.0,7300.0,882058.0,13181.67286,7.935986069,3.0,20.0,881926.0,22593.0
BENIGN,1.0,118.0,132359.0,1201.278341,15.11041939,1.0,41.0,0.0,0.0
BENIGN,0.0,0.0,34.0,352941.1765,58823.52941,2.0,6.0,0.0,34.0
PortScan,1.0,6.0,81.0,74074.07407,24691.35802,1.0,0.0,0.0,0.0
DDoS,0.0,0.0,6100884.0,3.933856143,0.65564269,4.0,6.0,0.0,6100884.0
BENIGN,1.0,83.0,48580.0,2840.675175,41.16920543,1.0,55.0,0.0,0.0
BENIGN,19.0,3671.0,116889338.0,67.42274475,0.359314209,23.0,1186.0,112000000.0,117000000.0
DDoS,4.0,10135.0,150025.0,77500.4166,46.65889018,3.0,20.0,149976.0,27924.0
BENIGN,1.0,6.0,21.0,571428.5714,95238.09524,1.0,6.0,0.0,0.0
DoS Hulk,7.0,4344.0,147681.0,81161.42225,67.71351765,3.0,391.0,147620.0,13009.0
BENIGN,12.0,1515.0,3140101.0,3915.160691,8.279988446,14.0,1731.0,2710968.0,3140101.0
DoS Hulk,0.0,0.0,971.0,0.0,2059.732235,2.0,0.0,0.0,971.0
BENIGN,7.0,2021.0,148653.0,44943.5934693548,121.08736453351092,11.0,1381.0,109630.0,148653.0
BENIGN,2.0,0.0,5447873.0,0.0,1.10134726,4.0,0.0,1188887.0,5447873.0
BENIGN,0.0,0.0,1.0,12000000.0,2000000.0,2.0,6.0,0.0,1.0
BENIGN,7.0,2571.0,6281867.0,823.1629227,2.547013491,9.0,965.0,6211814.0,1490247.0
DoS Hulk,0.0,0.0,4.0,0.0,500000.0,2.0,0.0,0.0,4.0
PortScan,1.0,6.0,42.0,190476.1905,47619.04762,1.0,2.0,0.0,0.0
DDoS,4.0,7215.0,882469.0,13175.53364,7.932289973,3.0,20.0,882361.0,11037.0
BENIGN,1.0,117.0,60252.0,3004.049658,33.19391887,1.0,64.0,0.0,0.0
BENIGN,1.0,0.0,58026.0,3188.225968,86.1682694,4.0,185.0,0.0,58026.0
BENIGN,2.0,206.0,247.0,2299595.142,16194.33198,2.0,78.0,49.0,4.0
PortScan,1.0,6.0,13.0,615384.6154,153846.1538,1.0,2.0,0.0,0.0
BENIGN,2.0,86.0,281.0,932384.3416,14234.87544,2.0,45.0,1.0,1.0
DoS Slowhttptest,3.0,0.0,111442213.0,4.728908246,0.071786083,5.0,520.0,110000000.0,111000000.0
BENIGN,1.0,54.0,26922.0,3417.279548,74.28868583,1.0,38.0,0.0,0.0
DDoS,0.0,0.0,6243885.0,3.843760736,0.640626789,4.0,6.0,0.0,6243885.0
BENIGN,1.0,0.0,22274.0,0.0,179.5815749,3.0,0.0,0.0,22274.0
BENIGN,0.0,0.0,3.0,12333333.333333332,666666.6666666666,2.0,37.0,0.0,3.0
PortScan,1.0,6.0,48.0,166666.6667,41666.66667,1.0,2.0,0.0,0.0
DDoS,0.0,0.0,3141262.0,7.640241406,1.273373568,4.0,6.0,0.0,3141262.0
BENIGN,1.0,0.0,87.0,0.0,22988.5057471264,1.0,0.0,0.0,0.0
DoS Hulk,6.0,4344.0,100488664.0,119.0183999,0.129367826,7.0,365.0,74306.0,100000000.0
BENIGN,2.0,109.0,300413.0,1404.7328178208002,19.972504518779147,4.0,51.0,4.0,92432.0
PortScan,1.0,6.0,49.0,163265.3061,40816.32653,1.0,2.0,0.0,0.0
DoS Hulk,0.0,0.0,2.0,0.0,1000000.0,2.0,0.0,0.0,2.0
PortScan,1.0,6.0,93.0,86021.50538,21505.37634,1.0,2.0,0.0,0.0
BENIGN,2.0,127.0,210.0,1600000.0,19047.61905,2.0,41.0,48.0,3.0
PortScan,1.0,6.0,56.0,107142.8571,35714.28571,1.0,0.0,0.0,0.0
FTP-Patator,15.0,34.0,8685966.0,33.50231857,2.76307782,9.0,22.0,8685905.0,5639303.0
DoS Hulk,5.0,5803.0,1778.0,6699662.542,4499.43757,3.0,317.0,1601.0,1023.0
DDoS,5.0,10135.0,76325027.0,152.807021,0.170324211,8.0,20.0,624606.0,75700000.0
PortScan,1.0,6.0,49.0,163265.3061,40816.32653,1.0,2.0,0.0,0.0
BENIGN,2.0,97.0,60981.0,5477.11582296125,98.39130220888474,4.0,35.0,3.0,31342.0
BENIGN,2.0,116.0,2698653.0,121.5421175,1.482220945,2.0,51.0,2698048.0,2626024.0
BENIGN,2.0,179.0,469.0,1522388.06,8528.784648,2.0,178.0,4.0,4.0
SSH-Patator,33.0,976.0,12530637.0,379.3103256,4.389242143,22.0,640.0,12500000.0,9932610.0
BENIGN,2.0,162.0,172778.0,2234.0807278705,23.1510956256,2.0,31.0,3.0,1.0
DDoS,0.0,0.0,2636022.0,11.38078514,1.896797523,5.0,6.0,0.0,2636022.0
BENIGN,51.0,1418.0,116587198.0,493.7248770658,0.7119134984,32.0,406.0,116551045.0,116587198.0
PortScan,1.0,6.0,78.0,76923.07692,25641.02564,1.0,0.0,0.0,0.0
BENIGN,5.0,1774.0,5242293.0,698.9307923,2.479830868,8.0,192.0,116112.0,5242293.0
BENIGN,1.0,0.0,52.0,0.0,38461.53846,1.0,0.0,0.0,0.0
DDoS,6.0,5840.0,1085141.0,10720.26585,8.293853057,3.0,20.0,1085125.0,609.0
BENIGN,1.0,0.0,6.0,0.0,333333.3333,1.0,0.0,0.0,0.0
PortScan,1.0,6.0,62.0,96774.19355,32258.06452,1.0,0.0,0.0,0.0
PortScan,1.0,6.0,56.0,107142.8571,35714.28571,1.0,0.0,0.0,0.0
DDoS,0.0,0.0,3935972.0,7.622005441,1.27033424,5.0,6.0,0.0,3935972.0
BENIGN,0.0,0.0,1.0,12000000.0,2000000.0,2.0,6.0,0.0,1.0
DDoS,6.0,5840.0,305672.0,38057.13314,29.44332487,3.0,20.0,305642.0,898.0
BENIGN,12.0,1627.0,60779199.0,79.36925921,0.444230928,15.0,541.0,60700000.0,60800000.0
BENIGN,9.0,246.0,16167533.0,206.7724247,1.175194756,10.0,577.0,16000000.0,11400000.0
BENIGN,0.0,0.0,854.0,0.0,2341.920375,2.0,0.0,0.0,854.0
BENIGN,1.0,175.0,23674.0,9377.376024,84.48086508,1.0,47.0,0.0,0.0
BENIGN,3.0,0.0,47862.0,0.0,104.4670093,2.0,0.0,4.0,47862.0
BENIGN,1.0,72.0,30514.0,4194.795831,65.54368487,1.0,56.0,0.0,0.0
BENIGN,2.0,51.0,60160.0,2859.042553,66.4893617,2.0,35.0,3.0,3.0
DoS Hulk,8.0,4344.0,98326854.0,121.5436019,0.142382263,6.0,338.0,98300000.0,98300000.0
BENIGN,1.0,125.0,69954.0,2830.431426,28.59021643,1.0,73.0,0.0,0.0
DDoS,5.0,7215.0,81174487.0,143.6781485,0.160148841,8.0,20.0,551668.0,80600000.0
DoS Hulk,0.0,0.0,521.0,0.0,5758.15739,3.0,0.0,0.0,521.0
DDoS,0.0,0.0,2190984.0,13.6924779,2.28207965,5.0,6.0,0.0,2190984.0
BENIGN,2.0,176.0,257.0,1774319.06614786,15564.202334630349,2.0,52.0,1.0,1.0
BENIGN,2.0,319.0,49198451.0,11.11823622,0.081303373,2.0,55.0,49100000.0,49200000.0
DDoS,6.0,4380.0,361189.0,32207.51463,24.91770237,3.0,20.0,361144.0,953.0
BENIGN,0.0,0.0,114.0,105263.1579,17543.85965,2.0,6.0,0.0,114.0
DoS Hulk,0.0,0.0,4.0,0.0,500000.0,2.0,0.0,0.0,4.0
BENIGN,1.0,55.0,31948.0,3443.095029,62.60172781,1.0,55.0,0.0,0.0
DoS Hulk,0.0,0.0,4.0,0.0,500000.0,2.0,0.0,0.0,4.0
BENIGN,0.0,0.0,3.0,12300000.0,666666.6667,2.0,31.0,0.0,3.0
BENIGN,2.0,99.0,62479.0,5986.011299796732,96.0322668416588,4.0,44.0,4.0,32980.0
DDoS,0.0,0.0,12211648.0,1.965336701,0.327556117,4.0,6.0,0.0,12200000.0
BENIGN,1.0,67.0,26378.0,4473.424823716734,75.82075972401243,1.0,51.0,0.0,0.0
DoS Hulk,4.0,11595.0,86206237.0,138.6906611,0.162401242,10.0,361.0,2151.0,86200000.0
PortScan,1.0,6.0,34.0,235294.1176,58823.52941,1.0,2.0,0.0,0.0
DDoS,4.0,7215.0,849035.0,13694.37067,8.244654225,3.0,20.0,848974.0,3465.0
DoS Hulk,6.0,4344.0,84946121.0,140.4419632,0.153038183,7.0,335.0,137440.0,84800000.0
DoS Hulk,0.0,0.0,1.0,0.0,2000000.0,2.0,0.0,0.0,1.0
PortScan,1.0,6.0,50.0,160000.0,40000.0,1.0,2.0,0.0,0.0
DoS Hulk,6.0,4355.0,1001077.0,11937.1437,9.989241587,4.0,355.0,1538.0,1000419.0
BENIGN,2.0,54.0,47767.0,5443.088325,125.6097306,4.0,38.0,48.0,33744.0
DoS Hulk,7.0,4344.0,355780.0,34833.32396,30.91798302,4.0,399.0,355726.0,219994.0
BENIGN,0.0,0.0,5239.0,2290.513456766558,381.7522427944264,2.0,6.0,0.0,5239.0
BENIGN,9.0,657.0,60412418.0,23.488548331238785,0.2979519872884412,9.0,762.0,60361631.0,51312577.0
BENIGN,0.0,0.0,4.0,3000000.0,500000.0,2.0,6.0,0.0,4.0
BENIGN,20.0,1418.0,115188205.0,49.20642699,0.364620666,22.0,492.0,111000000.0,115000000.0
BENIGN,4.0,355.0,5235931.0,274.8317347956,1.5279040155,4.0,1084.0,5118362.0,235664.0
DoS Hulk,0.0,0.0,5.0,0.0,400000.0,2.0,0.0,0.0,5.0
BENIGN,2.0,113.0,38886.0,7509.12925,102.8647842,2.0,33.0,4.0,4.0
BENIGN,7.0,500.0,8637537.0,268.5950868,1.389284932,5.0,939.0,8602991.0,142767.0
BENIGN,42.0,2920.0,175904.0,366478.3063,414.9990904,31.0,340.0,119082.0,175904.0
BENIGN,19.0,1448.0,115643502.0,55.75756431,0.354537862,22.0,766.0,113000000.0,116000000.0
DDoS,5.0,10135.0,252721.0,46030.99861,31.65546195,3.0,20.0,252703.0,587.0
BENIGN,2.0,131.0,31107.0,10801.4273314688,128.5884206127,2.0,37.0,3.0,4.0
DDoS,6.0,4380.0,642526.0,18095.76577,14.00721527,3.0,20.0,642232.0,25922.0
BENIGN,1.0,46.0,50255464.0,2.069426719,0.079593335,3.0,46.0,0.0,50300000.0
DDoS,5.0,4380.0,77227605.0,150.8657429,0.155384852,7.0,20.0,362864.0,76900000.0
DoS Hulk,0.0,0.0,3.0,0.0,666666.6667,2.0,0.0,0.0,3.0
BENIGN,4.0,6.0,39931.0,9741.804613,225.3887957,5.0,258.0,29465.0,39931.0
BENIGN,2.0,132.0,186.0,1741935.484,21505.37634,2.0,30.0,3.0,3.0
BENIGN,1.0,66.0,30816.0,3374.870197,64.90134995,1.0,38.0,0.0,0.0
DoS Hulk,0.0,0.0,3.0,0.0,666666.6667,2.0,0.0,0.0,3.0
DDoS,6.0,5840.0,767897.0,15149.16714,11.72032187,3.0,20.0,767852.0,1548.0
DDoS,6.0,4380.0,1125848.0,10332.65592,7.99397432,3.0,20.0,1125709.0,856.0
BENIGN,1.0,174.0,50934.0,4319.315192,39.26650175,1.0,46.0,0.0,0.0
BENIGN,2.0,163.0,165.0,3951515.152,24242.42424,2.0,163.0,4.0,5.0
BENIGN,11.0,1460.0,7912789.0,808.3117091,2.401176121,8.0,469.0,7822918.0,7821779.0
BENIGN,0.0,0.0,48.0,83333.33333,41666.66667,2.0,2.0,0.0,48.0
BENIGN,2.0,6.0,69.0,173913.0435,57971.01449,2.0,0.0,3.0,4.0
PortScan,1.0,6.0,55.0,145454.5455,36363.63636,1.0,2.0,0.0,0.0
BENIGN,1.0,137.0,142796.0,1288.5515,14.00599457,1.0,47.0,0.0,0.0
BENIGN,2.0,222.0,54636.0,9480.928326,73.21180174,2.0,37.0,48.0,47.0
DDoS,0.0,0.0,7963813.0,3.767039733,0.627839956,5.0,6.0,0.0,7963813.0
DDoS,6.0,4380.0,1130362.0,10286.08534,7.962051095,3.0,20.0,1130350.0,10066.0
DoS Hulk,6.0,5792.0,99514728.0,120.6253611,0.160780221,10.0,403.0,83268.0,99400000.0
BENIGN,1.0,122.0,23264.0,6963.548831,85.96973865,1.0,40.0,0.0,0.0
PortScan,1.0,6.0,48.0,125000.0,41666.66667,1.0,0.0,0.0,0.0
BENIGN,2.0,98.0,48655.0,5795.9099784195,82.2114890556,2.0,43.0,3.0,62.0
DDoS,5.0,10135.0,697062.0,16688.61593,11.47674095,3.0,20.0,697049.0,939.0
BENIGN,2.0,167.0,24045.0,17134.53941,166.3547515,2.0,39.0,4.0,3.0
BENIGN,1.0,66.0,36466.0,3181.045357,54.84560961,1.0,50.0,0.0,0.0
PortScan,1.0,6.0,14.0,571428.5714,142857.1429,1.0,2.0,0.0,0.0
DoS Hulk,5.0,7240.0,83478084.0,142.8878027,0.155729497,8.0,333.0,151405.0,83300000.0
DDoS,5.0,8675.0,1012270.0,11486.06597,6.915151096,2.0,20.0,1012237.0,768.0
BENIGN,2.0,72.0,116410388.0,2.096032872942576,0.0343611946384028,2.0,56.0,116379782.0,116379836.0
DDoS,6.0,5755.0,38141.0,304842.5579,235.9665452,3.0,20.0,38093.0,26016.0
BENIGN,2.0,237.0,67048.0,8262.737144,59.65875194,2.0,40.0,48.0,5.0
PortScan,1.0,6.0,50.0,120000.0,40000.0,1.0,0.0,0.0,0.0
DoS Hulk,5.0,5792.0,99920913.0,119.1642434,0.12009498,7.0,312.0,46696.0,99900000.0
BENIGN,9.0,1418.0,190672.0,23679.407569019048,99.64756230594948,10.0,202.0,153669.0,190672.0
DoS Hulk,7.0,5792.0,99152308.0,120.8040462,0.121025927,5.0,371.0,99200000.0,99200000.0
DoS Hulk,1.0,0.0,11981.0,1001.585844,250.3964611,2.0,6.0,0.0,11981.0
BENIGN,0.0,0.0,64065059.0,1.1550758113,0.0312182652,2.0,37.0,0.0,64065059.0
DDoS,6.0,5840.0,1311508.0,8865.367196,6.862329471,3.0,20.0,1311498.0,20477.0
BENIGN,2.0,235.0,87259.0,6211.393667,45.84054367,2.0,36.0,1.0,1.0
DoS Hulk,6.0,4344.0,83211260.0,143.9949353,0.168246461,8.0,375.0,147496.0,83100000.0
BENIGN,2.0,140.0,24349.0,14702.8625405561,164.2777937492,2.0,39.0,3.0,3.0
DoS Hulk,7.0,5792.0,98777649.0,121.8291802,0.131608721,6.0,421.0,98800000.0,98700000.0
DoS slowloris,0.0,0.0,3002232.0,0.0,0.999256553,3.0,0.0,0.0,3002232.0
BENIGN,2.0,0.0,2003979.0,437.1303292,3.493050576,5.0,438.0,246608.0,2003979.0
BENIGN,24.0,1418.0,1707382.0,3454.4114908087354,24.013372520033595,17.0,378.0,1658549.0,1658395.0
BENIGN,2.0,236.0,203.0,2758620.68965517,19704.4334975369,2.0,44.0,4.0,3.0
BENIGN,1.0,0.0,5509632.0,2.178003903,0.726001301,3.0,6.0,0.0,5509632.0
BENIGN,13.0,2274.0,2403702.0,2774.470379,9.984598756,11.0,355.0,2353093.0,403333.0
DDoS,5.0,7215.0,616079.0,18882.31866,12.98534766,3.0,20.0,615956.0,1047.0
BENIGN,1.0,114.0,443.0,379232.5056,4514.672686,1.0,54.0,0.0,0.0
BENIGN,8.0,2603.0,233466.0,21369.27861016165,81.38229977812615,11.0,206.0,177171.0,233466.0
BENIGN,1.0,0.0,5079530.0,0.0,0.787474432,3.0,0.0,0.0,5079530.0
BENIGN,8.0,2264.0,10588248.0,329.4218269,1.511109298,8.0,517.0,10500000.0,10600000.0
BENIGN,2.0,68.0,161.0,1291925.466,24844.7205,2.0,36.0,48.0,4.0
BENIGN,2.0,104.0,166.0,1686746.988,24096.38554,2.0,36.0,48.0,3.0
BENIGN,4.0,79.0,53747.0,9674.958602,148.845517,4.0,51.0,3636.0,53551.0
BENIGN,0.0,0.0,58226.0,206.0934978,34.34891629,2.0,6.0,0.0,58226.0
BENIGN,10.0,20.0,90850915.0,128.5732785,0.165105657,5.0,11595.0,90600000.0,90900000.0
BENIGN,19.0,2435.0,115363552.0,70.48153302,0.36406646,23.0,357.0,111000000.0,115000000.0
BENIGN,2.0,101.0,48749.0,7425.79335,123.0794478,4.0,40.0,3.0,31426.0
BENIGN,15.0,746.0,115510181.0,20.4484139801,0.285689103,18.0,435.0,112496201.0,115510181.0
BENIGN,0.0,0.0,1890.0,6349.206349,1058.201058,2.0,6.0,0.0,1890.0
DoS Hulk,7.0,4344.0,85388529.0,139.6206275,0.152245274,6.0,327.0,147600.0,85300000.0
FTP-Patator,15.0,34.0,10074935.0,29.08207348,2.382149364,9.0,24.0,10100000.0,6500186.0
DoS Hulk,5.0,7240.0,67867534.0,175.7099352,0.176815029,7.0,324.0,147422.0,67700000.0
BENIGN,0.0,0.0,338.0,35502.95858,5917.159763,2.0,6.0,0.0,338.0
PortScan,1.0,6.0,134.0,44776.1194,14925.37313,1.0,0.0,0.0,0.0
BENIGN,2.0,118.0,123469.0,2526.950085,32.39679596,2.0,38.0,3.0,48.0
BENIGN,7.0,1430.0,185587.0,27254.06413,91.60124362,10.0,194.0,103243.0,185587.0
BENIGN,0.0,0.0,49.0,244897.9592,40816.32653,2.0,6.0,0.0,49.0
BENIGN,4.0,1950.0,5669912.0,455.2098869,2.116434964,8.0,200.0,429317.0,5669912.0
DoS Hulk,2.0,0.0,13587.0,883.1971738,294.3990579,2.0,6.0,13586.0,552.0
DDoS,0.0,0.0,659979.0,54.54719014,9.091198356,6.0,6.0,0.0,659979.0
BENIGN,1.0,0.0,52853.0,0.0,56.76120560800712,2.0,0.0,0.0,1.0
DoS Hulk,0.0,0.0,0.0,,inf,2.0,0.0,0.0,0.0
BENIGN,2.0,95.0,64105.0,4367.834022,62.39762889,2.0,45.0,48.0,2.0
BENIGN,1.0,0.0,50450.0,0.0,39.6432111,1.0,0.0,0.0,0.0
BENIGN,12.0,1770.0,36260938.0,181.5452209,0.634291369,11.0,424.0,36200000.0,34200000.0
DDoS,0.0,0.0,8760735.0,3.424370216,0.570728369,5.0,6.0,0.0,8760735.0
BENIGN,2.0,414.0,1379.0,658448.1508,2900.652647,2.0,40.0,3.0,46.0
DDoS,5.0,7215.0,1440862.0,8073.639252,5.552231928,3.0,20.0,1440776.0,738.0
BENIGN,2.0,132.0,61210.0,5293.252736,65.34879922,2.0,30.0,49.0,153.0
BENIGN,0.0,0.0,4.0,0.0,500000.0,2.0,0.0,0.0,4.0
DoS Hulk,0.0,0.0,10.0,0.0,200000.0,2.0,0.0,0.0,10.0
BENIGN,16.0,796.0,99074782.0,45.40004943,0.333081732,17.0,435.0,99100000.0,90700000.0
DoS Hulk,2.0,11.0,13072.0,1759.485924,305.997552,2.0,6.0,12979.0,1682.0
DoS Hulk,0.0,0.0,4.0,0.0,500000.0,2.0,0.0,0.0,4.0
BENIGN,1.0,0.0,5309992.0,2.25989041,0.753296803,3.0,6.0,0.0,5309992.0
BENIGN,2.0,6.0,57.0,280701.7544,70175.4386,2.0,2.0,1.0,1.0
BENIGN,1.0,0.0,90.0,2088888.889,22222.22222,1.0,188.0,0.0,0.0
BENIGN,0.0,0.0,1.0,12000000.0,2000000.0,2.0,6.0,0.0,1.0
BENIGN,1.0,129.0,105124.0,1598.112705,19.02515125,1.0,39.0,0.0,0.0
BENIGN,1.0,6.0,84302.0,71.17268867,23.72422956,1.0,0.0,0.0,0.0
PortScan,1.0,6.0,76.0,78947.36842,26315.78947,1.0,0.0,0.0,0.0
DoS Hulk,8.0,5792.0,86456964.0,138.2653224,0.161930276,6.0,347.0,86500000.0,86500000.0
BENIGN,1.0,0.0,204.0,0.0,14705.88235,2.0,0.0,0.0,204.0
BENIGN,1.0,113.0,182830.0,902.4777115,10.93912378,1.0,52.0,0.0,0.0
BENIGN,2.0,82.0,185.0,1600000.0,21621.621621621623,2.0,66.0,48.0,2.0
DDoS,0.0,0.0,10078803.0,2.976543941,0.496090657,5.0,6.0,0.0,10100000.0
BENIGN,1.0,61.0,30444.0,3481.8026540534,65.6943896991,1.0,45.0,0.0,0.0
BENIGN,1.0,6.0,36.0,333333.3333,55555.55556,1.0,6.0,0.0,0.0
BENIGN,0.0,0.0,3.0,4000000.0,666666.6667,2.0,6.0,0.0,3.0
DoS Hulk,5.0,5792.0,83488154.0,142.738813,0.16768846,9.0,322.0,135502.0,83400000.0
BENIGN,1.0,6.0,38696.0,465.1643581,77.52739301,2.0,6.0,0.0,38696.0
BENIGN,2.0,91.0,189186.0,1680.885478,31.71482034,4.0,34.0,4.0,30128.0
BENIGN,2.0,174.0,58117034.0,5.626577571,0.068826637,2.0,46.0,57900000.0,58100000.0
DoS Hulk,6.0,5792.0,85453146.0,139.8661203,0.16383247,8.0,351.0,152491.0,85300000.0
BENIGN,1.0,6.0,2.0,6000000.0,1000000.0,1.0,6.0,0.0,0.0
PortScan,1.0,6.0,48.0,166666.6667,41666.66667,1.0,2.0,0.0,0.0
DoS Hulk,6.0,5792.0,85903062.0,139.3663942,0.139692343,6.0,377.0,172588.0,85700000.0
DoS Hulk,0.0,0.0,4.0,0.0,500000.0,2.0,0.0,0.0,4.0
DDoS,0.0,0.0,10023048.0,2.3944812,0.3990802,4.0,6.0,0.0,10000000.0
PortScan,1.0,6.0,26.0,307692.3077,76923.07692,1.0,2.0,0.0,0.0
BENIGN,0.0,0.0,3.0,10300000.0,666666.6667,2.0,31.0,0.0,3.0
BENIGN,2.0,48.0,252.0,634920.634920635,15873.0158730159,2.0,32.0,3.0,4.0
BENIGN,1.0,6.0,162.0,111111.1111,18518.51852,2.0,6.0,0.0,159.0
BENIGN,0.0,0.0,49.0,81632.65306,40816.32653,2.0,2.0,0.0,49.0
PortScan,1.0,6.0,46.0,130434.7826,43478.26087,1.0,0.0,0.0,0.0
BENIGN,1.0,0.0,49.0,0.0,40816.32653,1.0,0.0,0.0,0.0
BENIGN,1.0,0.0,80.0,0.0,25000.0,1.0,0.0,0.0,0.0
BENIGN,25.0,2920.0,600632.0,70209.37945,71.59125721,18.0,517.0,451590.0,600322.0
BENIGN,0.0,0.0,876.0,0.0,2283.105023,2.0,0.0,0.0,876.0
